Compute_Cores,Data_Stored_TB,Network_Traffic_GB,Monthly_Cloud_Cost
37.3,214.4,4379.6,44410.85
8.0,440.1,511.6,3776.45
40.1,110.0,3439.5,29495.42
63.4,415.0,3432.5,34929.7
10.7,283.3,3378.5,26777.95
34.1,36.8,4717.4,49126.64
56.4,486.2,4133.1,44859.03
47.9,261.2,305.7,5872.09
45.2,152.5,2408.3,17685.75
45.6,240.0,2050.0,14725.69
24.3,430.4,1619.7,9894.7
20.2,159.4,2311.5,13862.64
52.2,104.4,1982.6,14988.43
52.2,73.2,2218.4,16453.92
55.8,156.0,4898.4,57323.22
58.6,392.2,534.3,9316.82
33.7,241.1,4618.9,48303.11
33.1,121.5,2453.2,16094.94
51.5,91.4,3156.3,27080.16
42.3,173.0,4167.9,41649.54
45.5,470.6,1866.3,14536.61
51.3,178.1,2209.1,16593.38
57.2,494.2,2106.6,18563.01
23.0,247.8,1936.2,11608.52
25.3,97.8,4635.1,47417.3
7.8,446.7,4161.8,39271.2
37.9,235.6,634.1,5478.4
4.2,357.7,629.8,3349.14
30.9,492.0,2196.6,15290.59
35.6,34.6,583.4,4039.66
19.8,57.4,3133.6,22541.13
38.6,363.0,804.1,6851.35
3.9,148.1,2659.6,16510.49
4.3,100.3,135.4,990.62
53.0,29.3,1651.3,11659.75
24.3,20.7,3418.2,26500.67
9.9,389.5,2471.8,16133.17
34.4,75.9,4893.5,53309.82
49.7,239.2,4383.1,46737.84
15.4,306.9,1859.4,10115.13
40.6,219.9,322.9,5131.36
7.3,23.3,4243.6,38477.58
5.2,393.9,4565.0,46192.24
34.9,15.2,4121.1,38979.8
35.5,383.3,727.0,6383.1
41.5,447.7,4989.8,57964.8
47.0,222.1,1367.1,10427.98
62.5,272.4,3648.6,37149.28
34.0,243.7,4549.4,47191.41
22.0,200.7,1254.9,6190.64
51.3,444.8,4550.5,50940.98
18.8,448.0,1616.5,9438.29
29.2,174.6,4884.4,53034.17
6.9,311.4,1478.2,7042.54
3.6,464.2,4771.8,50260.34
61.7,481.4,362.4,10189.46
53.8,259.4,3575.4,33936.32
45.2,231.9,2707.3,21006.18
27.4,146.6,2441.6,15787.79
12.7,479.8,1195.1,6902.65
11.7,80.0,3557.4,27990.21
17.5,294.1,1035.0,5266.09
36.1,148.4,2808.9,21015.83
46.3,146.7,1340.9,9496.05
42.9,208.4,4782.5,52874.52
19.4,499.4,240.3,3559.0
61.2,36.9,1078.7,9491.66
47.7,293.5,1287.3,9884.8
36.4,50.5,2128.9,13537.55
39.9,85.7,1240.4,7184.54
28.0,225.4,2507.6,17019.59
17.4,260.1,4375.1,42482.5
24.1,136.8,3589.1,29769.02
49.0,165.1,2941.8,24510.95
2.9,52.6,536.1,1161.49
9.2,158.6,3500.6,27554.44
4.9,483.6,915.4,4730.39
4.5,472.9,3953.2,36044.22
55.0,174.1,1325.3,10899.28
45.6,289.7,2143.5,15909.25
31.4,455.7,1817.3,12438.74
8.1,13.0,4308.2,39914.69
32.5,407.2,720.1,5642.66
31.4,474.7,2871.7,22532.56
12.7,54.7,796.1,2568.56
28.9,89.1,3553.5,29477.78
26.7,480.8,4534.9,48186.79
40.2,273.4,2229.6,15892.14
41.4,17.0,2491.7,16783.74
4.8,136.2,4644.4,46288.93
25.2,230.5,2652.9,17680.05
40.8,349.5,2489.2,18765.78
33.2,369.2,2933.8,22497.53
55.1,497.8,3477.2,33998.15
42.8,150.9,623.7,5223.71
12.1,273.7,4123.4,38143.67
6.4,271.3,2234.0,12793.52
41.8,208.8,454.5,5371.2
3.6,92.9,3952.3,33898.52
38.3,489.0,1947.1,13770.54
60.3,428.1,591.8,10074.35
37.7,254.2,3205.5,26938.11
26.1,305.6,4412.6,44469.95
41.9,121.4,4450.0,45949.23
30.4,276.5,4792.6,51504.17
35.8,350.5,4351.8,44369.17
60.4,262.4,110.5,8329.45
25.9,495.2,1963.2,13112.2
61.6,309.6,4110.9,44539.32
58.1,191.8,1894.6,15667.08
14.1,388.4,3047.6,22950.72
6.3,93.5,3071.0,21326.8
8.2,198.4,1888.6,9322.57
3.1,180.0,4531.9,44513.42
7.9,221.6,2565.8,15745.27
44.3,393.1,2377.4,18449.74
6.4,247.2,4987.8,53909.47
21.8,399.1,2518.2,17653.14
54.4,292.5,974.2,9193.77
3.4,177.6,2614.0,16218.52
52.5,406.9,4088.7,43217.59
19.5,126.8,3906.6,34408.53
9.3,119.9,3964.1,34684.39
45.2,257.2,3569.3,32815.86
41.0,137.8,1345.7,8798.85
56.4,14.5,4324.2,45410.18
47.6,327.7,4477.9,48129.95
51.8,260.4,1051.3,9250.57
19.5,228.3,739.2,3173.06
13.0,483.8,4880.5,53468.4
48.5,289.9,4354.8,46515.04
52.0,433.1,4476.9,49630.18
63.4,78.3,4443.2,49455.14
27.6,288.9,2754.3,19818.38
25.1,435.3,3267.4,26768.33
50.1,295.7,2772.3,23191.01
23.1,361.8,350.9,3785.5
59.7,192.3,3753.0,37655.85
55.2,55.3,2576.1,20901.79
28.6,234.4,3273.8,26304.12
48.6,203.3,2562.9,19940.79
48.8,434.9,2509.9,21057.07
8.4,129.6,941.8,2976.51
58.0,483.7,1465.7,13772.75
33.3,479.5,878.4,7103.86
53.2,131.3,1058.8,8713.89
21.8,180.5,4867.6,52103.3
57.5,448.8,850.3,10514.64
26.1,483.6,1419.4,8639.16
2.7,227.3,2993.9,20756.15
58.1,167.3,3089.9,27818.87
7.7,267.8,854.5,3479.69
21.8,347.0,3989.2,37431.38
60.9,144.0,3947.5,40600.4
60.9,370.9,1262.9,12865.48
37.6,35.3,1514.5,8439.22
41.2,34.2,4696.1,49871.07
29.8,199.3,4145.8,39548.61
20.2,183.2,3519.2,28771.87
22.4,164.7,502.9,3159.46
43.7,250.6,2149.5,15846.91
48.6,167.2,2840.6,23802.95
51.1,104.2,1018.3,8251.74
51.0,161.6,2296.3,17400.61
7.7,487.7,3045.0,23009.61
32.7,211.4,1704.1,10053.49
5.6,227.9,3926.6,34479.08
36.1,292.5,4218.2,41656.89
29.4,491.8,1685.7,11609.01
57.0,128.4,4209.4,44569.77
23.8,343.8,607.5,3811.78
9.3,360.8,4204.9,39554.98
10.9,307.6,848.5,4150.43
49.2,53.4,506.3,6094.29
40.3,341.7,3244.7,27465.07
8.3,41.4,2412.5,13649.75
7.2,302.1,4548.7,45051.1
45.5,372.4,1879.6,14004.58
6.5,113.4,1507.0,6484.61
53.0,422.4,2553.6,21708.16
45.8,24.9,2334.1,16021.51
7.0,423.5,1787.7,9804.76
7.3,235.6,3499.3,27641.21
63.2,116.6,3821.9,39263.95
25.2,75.6,4279.6,40533.57
25.0,477.1,4867.0,53586.85
52.4,45.6,1406.6,9698.72
60.7,107.6,3608.9,35329.09
63.1,180.4,2031.9,17525.95
48.7,313.9,3417.7,31025.8
25.3,277.0,2432.3,16100.46
7.2,71.6,4969.5,52861.77
50.2,152.0,3671.6,34434.52
36.6,127.0,4767.2,51432.19
28.3,114.6,4191.4,39789.55
58.2,211.5,4524.2,50349.06
8.9,355.0,4090.7,38247.8
32.5,116.6,2349.9,15073.26
2.7,189.7,1333.8,5552.17
31.1,201.5,1914.6,11706.43
5.5,488.5,199.2,2891.37
9.4,477.8,2667.6,18575.17
9.3,402.1,2574.8,17083.3
42.3,128.4,2673.7,19594.9
48.3,43.3,4872.8,54665.33
38.2,165.3,4566.1,47754.0
61.7,140.7,892.4,9712.18
25.2,257.9,1907.5,10805.15
19.7,391.1,2177.4,13935.0
55.9,430.6,1866.6,16401.59
15.9,424.0,4012.6,37417.84
61.7,186.2,2667.8,23915.27
2.8,346.7,2903.3,20173.83
62.1,163.3,4279.8,46613.38
4.7,39.8,4049.0,35094.99
57.3,353.8,747.8,9633.8
34.7,14.8,3598.2,30476.06
63.6,210.5,2233.6,19610.09
6.6,171.4,1543.8,7065.53
36.3,349.8,345.1,5118.29
62.1,385.5,2487.5,22512.88
34.4,159.0,1841.6,10945.89
41.0,407.7,1332.4,9920.59
45.1,154.0,3503.9,31445.66
30.2,228.7,3870.5,35297.88
40.9,366.2,1299.5,9810.83
38.2,349.5,342.3,5668.44
57.9,493.8,4258.9,47316.17
4.8,120.3,148.8,791.85
19.4,334.5,4691.9,48822.13
60.9,308.7,3175.3,30136.47
57.2,458.4,1677.0,15144.86
30.3,86.6,1307.7,7091.67
40.4,378.4,144.1,5522.93
19.2,288.5,1253.8,6592.2
13.7,144.6,774.9,2953.19
30.7,242.5,3099.6,24316.35
23.9,173.6,916.1,4695.54
38.2,293.9,2690.3,19895.91
6.8,445.6,2991.6,21875.62
62.4,289.0,1560.4,14573.37
63.1,319.5,271.8,9343.87
45.3,264.2,282.5,5454.69
35.2,35.1,229.1,2504.68
21.2,124.1,3721.7,31339.56
52.5,251.1,1658.2,12892.64
44.5,162.0,4001.9,38623.19
12.1,99.1,2215.5,12066.25
58.5,257.0,2319.7,19782.47
53.0,168.2,2613.1,21394.98
60.9,136.5,3593.9,34650.59
47.0,237.4,1440.2,10129.05
40.0,75.3,695.8,4970.94
27.9,464.6,2824.7,21714.84
59.8,435.2,1702.2,15660.05
55.7,356.7,2268.2,19242.25
4.8,62.0,3270.0,23516.38
3.6,390.2,2521.2,16085.17
25.3,405.9,3139.4,24748.38
52.3,386.2,2766.6,24105.15
63.2,65.8,3725.0,37120.57
11.3,325.5,3559.1,29522.79
38.8,418.8,2717.5,21463.85
25.6,292.9,3426.6,28296.6
62.1,326.7,4380.4,49220.06
54.2,234.6,2218.1,17425.9
54.0,269.1,2122.5,16854.74
31.1,26.8,3844.8,33757.32
27.7,323.1,2954.5,21815.64
19.0,49.9,447.9,1893.21
5.5,223.2,4471.3,43873.67
55.6,153.4,250.8,7061.5
52.4,277.3,3767.1,36845.15
64.0,75.4,3818.1,39023.58
63.8,348.9,4770.2,57030.93
36.4,399.6,365.3,5354.62
49.7,90.0,3024.6,25489.22
60.6,61.1,2196.4,18160.0
54.7,81.3,1720.1,13042.37
17.3,439.8,542.6,3883.26
29.9,268.8,2857.0,21377.73
10.0,239.0,2447.3,14475.66
61.2,62.3,612.3,8286.6
39.6,328.3,3101.2,25864.66
16.2,435.3,3716.0,32702.56
43.6,415.8,3859.7,37850.66
40.3,316.8,4536.3,48477.77
24.2,46.9,2106.4,11625.63
9.0,65.1,4770.1,48805.18
43.6,34.2,4340.6,43663.68
34.3,136.2,1552.9,8664.53
49.9,76.5,880.5,7268.82
34.3,137.4,2233.4,14417.95
54.8,198.7,2069.3,15892.74
36.2,472.1,2921.0,23841.38
36.8,309.1,2958.6,23638.95
56.4,419.1,3774.9,38504.58
27.0,358.1,2598.5,18972.31
10.3,65.1,613.6,1730.39
3.8,370.6,4305.6,41239.58
48.8,144.8,1617.8,11370.24
40.5,323.2,4859.4,54667.76
45.7,177.1,677.5,6249.33
15.2,498.9,4795.4,51333.43
10.5,139.1,546.0,1951.25
2.9,146.8,1232.1,4582.2
23.7,466.0,328.2,4486.75
38.6,22.1,3555.1,30868.82
26.3,351.4,4266.5,42344.84
29.1,365.4,2226.9,14670.01
58.1,419.8,4649.8,53857.78
23.6,487.5,2992.5,23260.17
33.9,488.0,3187.0,27342.11
50.6,42.0,4242.6,43288.6
26.6,412.7,1554.3,9082.53
40.6,326.7,1835.9,12597.39
55.5,327.2,4539.2,51177.0
60.9,72.9,4514.7,50484.91
11.1,328.6,4884.8,52314.96
59.4,491.4,4519.0,52370.44
32.5,456.8,724.1,5512.12
18.0,225.2,4136.2,38433.89
30.5,29.6,2108.2,12457.87
62.8,187.5,4954.9,59623.31
32.5,414.9,2414.2,17118.51
22.4,353.7,2813.8,19892.99
41.3,235.1,2695.9,20986.88
16.9,37.0,1676.5,7380.24
6.7,219.2,467.6,2178.75
10.0,239.8,4488.7,44390.66
9.9,465.0,4033.1,37748.46
11.4,324.1,783.7,3776.25
10.6,162.7,3906.2,33678.93
41.7,267.4,3166.6,26616.25
13.3,42.4,2104.8,11125.59
23.4,486.6,1344.7,8121.23
57.6,186.4,4312.7,46326.84
31.4,244.2,3530.9,29791.17
43.4,184.1,2783.9,21349.19
12.7,344.4,3086.9,23184.42
13.9,334.5,546.2,3181.31
4.5,360.5,2422.2,14867.45
12.5,141.4,1049.1,3886.76
19.3,164.7,1121.1,5011.43
13.0,71.4,3340.4,24945.6
7.5,331.2,4565.2,45935.93
9.5,29.5,2078.4,10637.97
30.6,302.9,1118.0,7120.53
14.8,436.2,3278.9,25693.61
24.6,446.5,4368.8,44220.27
33.2,230.0,3766.8,33685.08
44.8,235.1,4356.9,45314.28
4.4,47.7,2729.1,16844.9
51.6,338.7,3784.2,37341.99
40.9,412.4,786.3,7230.92
7.1,129.9,1806.5,8614.47
56.2,216.4,2008.8,16235.18
59.1,421.0,2605.3,23391.86
5.8,439.8,4652.5,47974.88
19.2,129.2,4384.1,42002.09
52.0,279.8,759.2,7960.97
48.4,104.3,946.7,7908.36
13.4,59.9,1852.4,8580.65
15.0,456.4,1524.6,8181.49
25.0,412.0,3112.4,24654.79
32.0,382.4,4523.6,47402.95
40.3,33.9,4815.2,52297.66
24.9,423.4,3302.7,27511.2
30.7,224.6,4207.0,40936.52
48.3,177.8,2673.5,21010.68
4.3,277.8,1120.8,4618.44
17.7,54.8,2671.0,16722.21
46.2,380.8,2819.9,23716.2
57.5,295.4,3738.0,37474.79
33.7,101.4,1177.4,5950.68
35.0,102.2,1904.7,11393.75
8.6,100.3,1883.7,8590.92
29.7,37.9,4801.3,51311.87
35.0,298.0,2275.3,15430.89
17.0,421.8,3800.0,33773.62
18.7,18.6,3779.0,31656.23
25.4,34.0,1401.2,6349.95
3.2,290.7,2902.2,19907.62
22.0,411.6,4482.1,45895.75
15.1,170.1,2428.5,15035.87
22.3,181.3,4731.1,49572.48
9.4,302.2,1150.8,5576.75
57.2,144.4,463.4,7325.49
38.8,23.0,4468.1,45541.39
44.1,370.3,4253.6,44153.69
50.9,316.6,4963.7,58488.06
32.9,294.6,3429.0,29479.91
7.4,373.4,4689.8,48524.39
35.3,340.9,4152.1,40883.22
38.4,110.9,4237.7,41850.46
48.2,182.7,2888.8,23205.38
28.8,71.8,1973.6,11042.85
9.9,73.6,4679.3,46962.12
19.6,341.3,2217.4,13536.55
24.5,430.7,2740.2,20346.91
42.0,481.7,2286.0,17380.19
37.4,317.9,2867.6,22430.25
24.1,100.2,2405.5,14850.88
63.2,61.8,335.0,8437.04
39.6,408.3,4422.0,46647.09
16.7,293.6,2277.5,14117.94
8.3,313.0,2985.8,21482.95
11.5,392.9,782.0,4186.7
17.2,354.6,116.6,2527.44
12.0,418.9,1301.9,6380.63
13.6,37.5,3552.5,27928.14
19.7,376.3,586.1,3849.92
12.7,426.9,4553.5,46759.58
57.6,150.2,1153.6,10454.47
7.0,323.8,1102.5,4917.7
34.5,163.9,989.4,5610.55
27.4,479.4,168.5,4494.46
62.9,26.4,3881.8,39299.97
8.9,294.1,4387.7,42426.98
26.7,91.6,3109.4,22854.52
62.1,359.0,1022.2,11539.2
55.7,96.2,1497.9,11920.12
52.7,125.3,2432.0,19033.64
18.0,252.2,4776.3,50159.8
12.6,458.3,1312.0,6648.61
43.5,113.7,3685.1,33560.41
59.6,80.7,2253.3,18164.1
36.5,381.9,1559.5,10463.25
37.4,255.3,2334.0,16251.39
19.4,456.8,448.9,4220.23
49.7,81.8,4013.6,39444.72
13.6,326.5,1292.2,6302.58
22.1,124.1,3654.5,30602.14
28.4,86.8,434.9,3481.97
33.5,344.9,4780.0,52532.96
17.0,300.9,1045.8,5118.14
9.1,379.9,4425.4,43738.97
39.9,161.6,4066.4,39111.91
19.9,229.5,4842.5,51372.79
38.0,208.7,2441.7,17130.43
11.6,492.2,3664.2,31535.74
31.8,153.2,1916.5,11539.8
35.0,154.5,1003.4,5709.92
5.2,183.7,2271.1,12998.04
22.9,286.7,912.2,5133.37
10.3,133.6,4912.0,51902.03
5.9,458.5,571.6,3553.13
63.4,140.2,2987.1,27343.78
22.0,448.9,3169.7,25305.55
52.2,60.7,2736.6,22205.1
17.8,331.7,3344.7,26509.69
44.3,454.4,669.3,7091.87
49.1,92.7,2819.6,22703.15
38.9,484.5,1507.3,11003.18
31.2,231.9,4706.9,49780.51
27.5,473.4,3834.2,35340.03
23.6,341.6,4865.3,52728.94
59.6,157.8,284.0,7587.47
53.5,102.3,1497.2,11175.02
61.8,158.8,1057.6,10614.58
9.7,55.6,154.7,725.81
47.3,80.5,1287.4,8625.58
60.2,61.3,3426.0,32222.68
13.2,217.2,1232.3,5459.14
6.1,399.8,2594.1,17004.72
47.9,79.3,4450.3,47079.43
37.6,73.9,3499.4,29762.75
54.2,325.3,2033.7,16156.51
10.7,106.6,1925.1,9572.54
51.3,57.8,2333.1,17618.52
14.5,91.8,967.5,3461.4
12.1,462.6,3206.6,24721.51
12.2,412.5,1884.3,10724.72
52.5,183.5,4276.6,44967.29
43.2,331.4,3807.1,36087.73
34.4,273.3,3091.5,24280.95
24.2,341.8,1884.6,11249.59
56.4,344.5,1128.7,10823.26
26.3,318.1,3903.1,35623.38
52.6,140.4,2483.4,19614.72
29.2,29.1,1201.3,5372.43
25.4,233.2,1056.4,5440.29
30.7,446.6,910.5,6655.52
20.7,289.1,3908.1,35063.69
48.4,417.9,1222.0,9893.01
33.2,495.9,2680.5,20535.86
16.4,90.2,2312.6,12916.88
57.8,349.0,2940.1,26882.14
25.8,340.4,4398.1,44331.19
35.7,490.2,4352.0,44867.1
58.2,492.9,2310.3,20879.44
40.7,346.5,175.3,5052.55
9.2,129.4,2189.6,12183.15
60.3,401.3,3070.3,29187.55
40.9,62.4,2833.0,20949.23
22.8,392.5,3291.5,26374.15
10.6,456.0,855.0,4788.79
51.2,197.6,3268.0,28995.36
40.4,319.0,995.0,7460.94
35.1,220.8,3777.6,34632.69
57.4,224.5,1761.5,14278.69
50.9,162.1,3578.5,33278.8
11.4,383.4,334.5,3236.43
21.3,468.7,2098.5,13526.82
17.4,471.0,3554.7,29954.47
48.1,95.6,1211.7,8733.13
4.1,438.6,3996.9,36107.89
37.3,371.3,3190.8,27153.8
49.3,133.9,2979.1,24479.88
56.4,43.0,1832.4,14630.5
23.2,141.3,2464.0,15870.33
52.9,457.0,3027.0,27333.68
8.9,320.3,2415.1,14923.81
54.5,363.3,3521.7,34262.81
9.9,136.0,2225.1,12386.0
26.6,362.5,1091.1,6596.34
51.4,23.8,1148.3,8789.72
11.3,193.9,128.4,1603.27
16.2,317.1,1574.7,8109.12
46.8,81.6,3769.7,34995.39
46.6,413.3,3991.4,40485.25
41.8,125.2,1092.1,7248.25
